Lab,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Total College of Agriculture,1,4,10,32,48,68
    College of Arts and Science,50,36,88,83,102,130
    College of Dentistry,--,--,--,5,11,5
    College of Education,1,3,12,30,33,35
    College of Graduate and Postdoctoral Studies,0,0,0,0,1,--
    College of Kinesiology,--,--,4,7,1,2
    College of Law,0,0,0,0,3,12
    College of Medicine,--,--,--,37,81,79
    College of Nursing,--,--,--,9,26,16
Total College of Pharmacy and Nutrition,--,--,--,--,--,5
    Edwards School of Business,5,8,18,12,16,20
    Information and Communications Technology,0,0,1,0,1,--
    Johnson-Shoyama Graduate School of Public Policy,1,3,6,21,20,17
    Office of the Vice-President Research,0,1,12,19,12,3
    St. Thomas More College,3,0,1,1,1,--
    School of Environment and Sustainability,2,4,4,26,8,19
    School of Public Health,--,--,--,3,12,10
    University Library,3,9,5,6,1,10
    Western College of Veterinary Medicine,--,--,--,9,4,2
