from,to,value
5,9,2
5,9,2
5,13,1
5,44,1
5,49,2
17,6,39
17,6,48
17,7,41
17,7,56
17,8,3
17,8,3
17,12,1
17,12,2
17,13,3
17,13,1
17,14,1
17,15,2
17,18,4
17,18,11
17,22,6
17,22,12
17,29,10
17,29,9
17,32,1
17,39,1
17,42,4
17,42,1
17,44,1
17,45,1
17,54,7
17,62,1
17,63,1
17,71,1
17,76,1
17,85,1
17,88,1
19,7,1
19,7,15
35,1,7
35,1,7
35,4,4
35,6,1
35,7,12
35,7,20
35,8,1
35,9,24
35,9,25
35,10,1
35,11,1
35,11,2
35,12,1
35,12,4
35,13,43
35,13,54
35,14,9
35,14,11
35,15,4
35,15,3
35,18,6
35,18,4
35,21,15
35,22,1
35,23,1
35,24,2
35,25,1
35,26,1
35,27,3
35,29,8
35,29,3
35,32,10
35,33,2
35,34,1
35,37,1
35,40,1
35,42,2
35,42,1
35,44,2
35,44,5
35,45,7
35,45,3
35,48,1
35,50,2
35,50,1
35,52,1
35,52,7
35,54,3
35,56,1
35,62,1
35,64,2
35,77,4
35,78,1
35,80,1
35,84,2
35,86,1
35,87,2
35,89,1
35,92,1
36,6,3
36,6,9
36,7,3
36,7,5
36,8,1
36,13,5
36,13,3
36,18,1
36,28,2
36,42,4
36,44,1
36,44,7
36,45,1
36,45,6
36,53,1
36,55,1
36,62,1
36,70,1
36,89,1
46,2,1
46,3,2
46,6,1
46,6,2
46,7,21
46,7,16
46,8,5
46,8,1
46,9,5
46,9,6
46,12,6
46,13,21
46,13,17
46,14,9
46,14,4
46,16,1
46,18,5
46,18,5
46,20,3
46,23,1
46,24,1
46,24,1
46,29,1
46,29,2
46,31,1
46,32,2
46,32,1
46,37,2
46,41,1
46,41,1
46,42,3
46,43,2
46,43,2
46,44,6
46,45,2
46,45,1
46,52,7
46,52,3
46,53,1
46,54,2
46,57,1
46,58,1
46,59,1
46,59,2
46,64,2
46,65,1
46,66,1
46,67,1
46,68,1
46,72,1
46,79,1
46,81,1
46,82,1
46,90,2
47,6,2
47,6,10
47,7,9
47,7,7
47,8,1
47,9,1
47,13,3
47,14,1
47,29,1
47,29,5
47,44,4
47,44,4
47,45,4
47,66,1
47,71,1
47,73,1
47,74,1
61,1,1
61,7,13
61,7,12
61,9,2
61,12,1
61,13,4
61,14,7
61,30,2
61,32,1
61,37,1
61,38,2
61,44,1
61,45,1
61,51,1
61,54,1
61,60,1
