from,to,value
5,9,2
5,44,1
17,6,48
17,7,56
17,8,3
17,12,2
17,13,1
17,15,2
17,18,11
17,22,12
17,29,9
17,32,1
17,42,1
17,44,1
17,54,4
17,63,1
17,71,1
17,76,1
17,85,1
17,88,1
19,7,15
35,1,7
35,7,20
35,9,25
35,11,2
35,12,4
35,13,54
35,14,11
35,15,3
35,18,4
35,22,1
35,29,3
35,42,1
35,44,5
35,45,3
35,50,1
35,52,7
35,54,3
35,62,1
35,64,2
35,77,4
35,78,1
35,80,1
35,84,2
35,86,1
35,87,2
35,89,1
35,92,1
36,6,9
36,7,5
36,13,3
36,42,2
36,44,7
36,45,6
36,53,1
36,70,1
36,89,1
46,6,2
46,7,16
46,8,1
46,9,6
46,12,6
46,13,17
46,14,4
46,18,5
46,24,1
46,29,2
46,32,1
46,41,1
46,42,2
46,43,2
46,45,1
46,52,3
46,54,2
46,59,2
46,64,2
46,65,1
46,66,1
46,67,1
46,68,1
46,72,1
46,79,1
46,81,1
46,82,1
46,90,2
47,6,10
47,7,7
47,8,1
47,9,1
47,13,3
47,14,1
47,29,5
47,44,4
47,66,1
47,71,1
47,73,1
47,74,1
61,7,12
61,32,1
61,37,1
61,44,1
