id,name,labs,group,Laboratories.and.Collaborators,size
1,Canadian Centre for Health and Safety in Agriculture,,2,U of S Other,10
5,Community-Based Observation Laboratory,COL,4,SSRL,30
6,College of Agriculture and Bioresources,,1,U of S SSRL Affiliated,10
7,College of Arts & Science,,1,U of S SSRL Affiliated,10
8,College of Dentistry,,1,U of S SSRL Affiliated,10
9,College of Education,,1,U of S SSRL Affiliated,10
11,College of Kinesiology,,1,U of S SSRL Affiliated,10
12,College of Law,,1,U of S SSRL Affiliated,10
13,College of Medicine,,1,U of S SSRL Affiliated,10
14,College of Nursing,,1,U of S SSRL Affiliated,10
15,College of Pharmacy and Nutrition,,2,U of S Other,10
17,Experimental Decision Laboratory,EDL,4,SSRL,30
18,Edwards School of Business,,1,U of S SSRL Affiliated,10
19,EEG Hyperscanning Laboratory,EHL,4,SSRL,30
22,Government of Saskatchewan,,3,U of S External,10
24,Health Quality Council,,3,U of S External,10
29,Johnson-Shoyama Graduate School of Public Policy,,1,U of S SSRL Affiliated,10
32,Office of the Vice-President Research,,2,U of S Other,10
35,Qualitative Research Laboratory,QRL,4,SSRL,30
36,The Spatial Laboratory,TSL,4,SSRL,30
37,Saskatchewan Centre for Patient Oriented Research (SCPOR),,2,U of S Other,10
41,Saskatoon Food Council,,3,U of S External,10
42,Saskatchewan Health Authority,,3,U of S External,10
43,Saskatoon Public Library,,3,U of S External,10
44,School of Environment and Sustainability,,1,U of S SSRL Affiliated,10
45,School of Public Health,,1,U of S SSRL Affiliated,10
46,Survey and Group Analysis Laboratory,SGAL,4,SSRL,30
47,Social Network Laboratory,SNL,4,SSRL,30
50,Leave My Name Out (LMNO) Formerly: The Marketing Den,,3,U of S External,10
52,University Library,,1,U of S SSRL Affiliated,10
53,University of Manitoba,,3,U of S External,10
54,University of Regina,,3,U of S External,10
59,University of Saskatchewan University Relations,,3,U of S External,10
61,Video Therapy Analysis Laboratory,ViTAL,4,SSRL,30
63,Alberta Health Services,,3,U of S External,10
64,Ambrose University,,3,U of S External,10
65,Brant Community Foundation,,3,U of S External,10
66,College of Veterinary Medicine,,1,U of S SSRL Affiliated,10
67,Continuing Physical Therapy Education,,2,U of S Other,10
68,Facilities Management Division,,2,U of S Other,10
70,First Nations Technical Services Advisory Group Inc.,,3,U of S External,10
71,Food Industry Development Centre Inc,,3,U of S External,10
72,Hollandia International Soccer Club,,3,U of S External,10
73,Howard Coad Community,,3,U of S External,10
74,Howard Coad School,,3,U of S External,10
76,IITGN,,3,U of S External,10
77,Law Society of Saskatchewan,,3,U of S External,10
78,Office of the President,,2,U of S Other,10
79,Office of the Treaty Commissioner,,3,U of S External,10
80,"Office of the Vice Provost, Health",,2,U of S Other,10
81,Public Legal Education Association,,3,U of S External,10
82,Queens University,,3,U of S External,10
84,Saskatchewan HIV/AIDS Research Endeavour (SHARE),,3,U of S External,10
85,Silerspring School,,3,U of S External,10
86,St. Thomas More College,,1,U of S SSRL Affiliated,10
87,University of Alberta,,3,U of S External,10
88,University of Calgary,,3,U of S External,10
89,University of West Indies,,3,U of S External,10
90,Western Beef Development Centre,,3,U of S External,10
92,Aboriginal Friendship Centres of Saskatchewan,,3,U of S External,10
